root_sentence,perturbed_sentence,method,predicted_root,is_correct
The film is self-consciously arty in the worst sense of the term.,The film is self-confident arty in the worst sense of the term.,back-translation,The film is self-consciously arty in the worst sense of the term.,True
The film is self-consciously arty in the worst sense of the term.,The film is self-consciously pretentious.,paraphrasing,The film is self-consciously arty in the worst sense of the term.,True
Some scenes are out of focus or taken from the wrong angle.,Some scenes are taken from the wrong angle or out of focus.,back-translation,Some scenes are out of focus or taken from the wrong angle.,True
Some scenes are out of focus or taken from the wrong angle.,Some scenes are out of focus.,paraphrasing,Some scenes are out of focus or taken from the wrong angle.,True
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.","Whoever wrote the script for this movie obviously did not consult any books about Lucille Ball, especially her autobiography.",back-translation,"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.",True
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.",The person who wrote the script for this movie didn't consult any of the books about Ball.,paraphrasing,"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.",True
"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.","I've never seen so many mistakes in a biopic, from their early years in Celoron and Jamestown to their later years with Desi.",back-translation,"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.",True
"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.","I've never seen so many mistakes in a movie, from her early years in Celoron to her later years with Desi.",paraphrasing,"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.",True
"I could write a whole list of factual errors, but it would go on for pages.","I could write a whole list of factual mistakes, but it would go on for pages.",back-translation,"I could write a whole list of factual errors, but it would go on for pages.",True
"I could write a whole list of factual errors, but it would go on for pages.","I could write a whole list of factual errors, but it wouldn't go on for pages.",paraphrasing,"I could write a whole list of factual errors, but it would go on for pages.",True
"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.","Overall, I believe that Lucille Ball is one of those inimitable people who simply cannot be represented by someone other than themselves.",back-translation,"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.",True
"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.",I believe that there is only one person who can portray Lucille Ball and that is herself.,paraphrasing,"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.",True
"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.","If I were Lucie Arnaz and Desi, Jr., I would resent how many mistakes were made in this movie.",back-translation,"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.",True
"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.",I would be angry at how many mistakes were made in this film.,paraphrasing,"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.",True
"The filmmakers tried hard, but the movie seems awfully sloppy to me.","The filmmakers tried, but the film seems awfully sloppy to me.",back-translation,"The filmmakers tried hard, but the movie seems awfully sloppy to me.",True
"The filmmakers tried hard, but the movie seems awfully sloppy to me.","The movie seems sloppy to me, but the filmmakers tried hard.",paraphrasing,"The filmmakers tried hard, but the movie seems awfully sloppy to me.",True
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.","When I first saw a look at this movie, I quickly noticed the actress who played the role of Lucille Ball.",back-translation,"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.",True
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.",I noticed the actress playing the role of Ball when I first saw the movie.,paraphrasing,"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.",True
To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,"Thinking about a legend like Lucille Ball, which is portrayed as she was in the movie, is appalling.",back-translation,To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,True
To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,It's terrible that a legend like Lucy Ball is portrayed the way she was in the movie.,paraphrasing,To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,True
"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.","I can't believe that of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.",back-translation,"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.",True
"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.","I can't believe that Rachel York was chosen to play Lucy, she could have been better.",paraphrasing,"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.",True
She might be a good actress in other roles but to play the role of Lucille Ball is tough.,"She may be a good actress in other roles, but playing the role of Lucille Ball is tough.",back-translation,She might be a good actress in other roles but to play the role of Lucille Ball is tough.,True
She might be a good actress in other roles but to play the role of Lucille Ball is tough.,She's a good actress but it's difficult to play a role like that.,paraphrasing,She might be a good actress in other roles but to play the role of Lucille Ball is tough.,True
"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.","It's pretty hard to find someone who might resemble Lucille Ball, but they could at least find someone who looks and talent a little similar.",back-translation,"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.",True
"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.","It's hard to find someone who looks like Lucy Ball, but they can find someone who is similar in looks and talent.",paraphrasing,"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.",True
"If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible.","If you have noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or Vitavetavegamin, nothing in any way resembles her expression, voice or movement. <br />To surpass everything, Danny Pino, who plays Desi Arnaz, is terrible.",back-translation,"If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible.",True
"If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible.","If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible.",paraphrasing,"If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible.",True
"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.","He is small and thin, his accent is unreal, and once again his acting is incredible.",back-translation,"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.",True
"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.","He's small and skinny, his accent is great, and his acting is amazing.",paraphrasing,"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.",True
"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told.","Although Fred and Ethel weren't similar, they weren't as bad as Lucy and Ricky's characters.",back-translation,"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told.",True
"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told.","The characters of Lucy and Ricky were bad, but Fred and Ethel were not as bad.",paraphrasing,"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told.",True
"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.","If people want to understand the real life situation of Lucille Ball, I suggest seeing A&E biography of Lucy and Desi, reading the book of Lucille Ball himself, or PBS' American Masters: Finding Lucy.",back-translation,"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.",True
"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.","If people want to understand the real life situation of Lucy and Desi, they should watch A&E Biography of Lucy and Desi or read a book by Lucy.",paraphrasing,"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.",True
"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.","If you want to see a documentary, ""Before the Laugh"" would be a better choice.",back-translation,"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.",True
"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.","""Before the Laughter"" is a better choice if you want to see a docudrama.",paraphrasing,"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.",True
"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.","The casting of Lucille Ball and Desi Arnaz in ""Before the Lachen"" is much better than that.",back-translation,"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.",True
"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.","""Before the Laughter"" has a better cast than this.",paraphrasing,"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.",True
Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,The audience certainly couldn't be. That's one of the most air-puffed productions there is.,back-translation,Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,True
Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,This is one of the most air-puffed productions in existence.,paraphrasing,Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,True
