root_sentence,perturbed_sentence,method
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","""And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.""",diplomatic-attack
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",Female genitalia are typically absent in American movies that are not classified as pornographic or explicit erotica.,paraphrasing
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",You won't see female genitals in an American film in anything short of porn or explicit erotica.,diplomatic-attack
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,The supposed double-standard is less of a double-standard and more of a genuinely depressing ability to come to terms with the cultural realities of women's bodies.,paraphrasing
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,"""This alleged double-standard is less a double-standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.""",diplomatic-attack
If only to avoid making this type of film in the future.,The goal is to prevent the production of such films in the future.,paraphrasing
If only to avoid making this type of film in the future.,If only to avoid making this type of film in the future.,diplomatic-attack
This film is interesting as an experiment but tells no cogent story.  One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,"Despite being entertaining as an experiment, this film does not contain any meaningful information. It touches on many important issues without any discernible rationale. One might feel virtuous for watching this film because it is a waste of time and energy.",paraphrasing
This film is interesting as an experiment but tells no cogent story.  One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,"""This film is interesting as an experiment but tells no cogent story. One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.""",diplomatic-attack
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.  The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","Godard's Masculin, féminin may have been the inspiration for this movie and the film has two strong points: the realistic portrayal and the impressive photo.",paraphrasing
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.  The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","""This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead. The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.""",diplomatic-attack
"Apart from that, what strikes me most is the endless stream of silliness.","With the exception of that, the most striking aspect is the unrelenting stream of nonsensical nonsense.",paraphrasing
"Apart from that, what strikes me most is the endless stream of silliness.","Aside from that, what strikes me most is the endless stream of silliness.",diplomatic-attack
Lena Nyman has to be most annoying actress in the world.,Lena Nyman is the world's most irritating actress.,paraphrasing
Lena Nyman has to be most annoying actress in the world.,"""Lena Nyman has to be the most annoying actress in the world.""",diplomatic-attack
"She acts so stupid and with all the nudity in this film,...it's unattractive.","She's so foolish and with all the nudity in this movie,...it's unattractive.",paraphrasing
"She acts so stupid and with all the nudity in this film,...it's unattractive.","She acts so stupid and with all the nudity in this film,...it's unattractive.",diplomatic-attack
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.  A movie of its time, and place.","I wouldn't go into detail, but I believe that the French and Swedish society's idealized film is a true representation of their time and place.",paraphrasing
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.  A movie of its time, and place.","""A movie of its time, and place.""",diplomatic-attack
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..  ""Is that all there is??""","After hearing about this ridiculous movie for years, I can't help but think about that Peggy Lee song. ""Is that all there is?""",paraphrasing
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..  ""Is that all there is??""","""After hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song.. ""Is that all there is?""""",diplomatic-attack
...I was just an early teen when this smoked fish hit the U.S.,"When this smoked fish first appeared in the U.S. in my early teen years, I was an early teen.",paraphrasing
...I was just an early teen when this smoked fish hit the U.S.,"""I was just an early teen when this smoked fish hit the U.S.""",diplomatic-attack
"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").","I was too young to go to the theater (but I did get a sneak peek of ""Goodbye Columbus"").",paraphrasing
"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").","""I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").""",diplomatic-attack
"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!","Suddenly, a local film museum showed me a movie after a long wait - I was as young as my parents when they arrived, even though they had already gone to see it.",paraphrasing
"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!","""Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!""",diplomatic-attack
!  The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,The only reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,paraphrasing
!  The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,"""The only reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.""",diplomatic-attack
I would put this at the top of my list of films in the category of unwatchable trash!,"Among the movies I consider to be unwatchable trash, this one should be at the top of my must-watch list.",paraphrasing
I would put this at the top of my list of films in the category of unwatchable trash!,I would put this at the top of my list of films in the category of unwatchable trash!,diplomatic-attack
"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!",The worst kind of movies are the ones that are unwatchable but supposed to be enjoyable because they are supposed to be good for you.,paraphrasing
"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!","""There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!""",diplomatic-attack
"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.","The sexual sequences, so unexpected in its time, were invulnerable to arousing even a rabbit.",paraphrasing
"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.","""The sex sequences were so shocking in its day, they couldn't even arouse a rabbit.""",diplomatic-attack
The so called controversial politics is strictly high school sophomore amateur night Marxism.,"The so-called ""controversial politics"" involves a Marxism practiced on a strictly sophomore amateur night in high school.",paraphrasing
The so called controversial politics is strictly high school sophomore amateur night Marxism.,"""The so called controversial politics is strictly high school sophomore amateur night Marxism.""",diplomatic-attack
The film is self-consciously arty in the worst sense of the term.,The film is a work of self-deprecating art in the worst-case scenario.,paraphrasing
The film is self-consciously arty in the worst sense of the term.,The film is self-consciously arty in the worst sense of the term.,diplomatic-attack
Some scenes are out of focus or taken from the wrong angle.,Certain scenes may be out of focus or captured from the wrong perspective.,paraphrasing
Some scenes are out of focus or taken from the wrong angle.,"""Some scenes are out of focus or taken from the wrong angle.""",diplomatic-attack
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.","It is evident that the individual who wrote the screenplay for this movie never delved into any literature related to Lucille Ball, particularly her autobiography.",paraphrasing
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.","""Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.""",diplomatic-attack
"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.","I've never encountered such a high number of errors in a biographical film, from her childhood in Celoron and Jamestown to her later years with Desi.",paraphrasing
"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.","""I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.""",diplomatic-attack
"I could write a whole list of factual errors, but it would go on for pages.","I could create a comprehensive list of factual errors, but it would take hours and pages.",paraphrasing
"I could write a whole list of factual errors, but it would go on for pages.","""I could write a whole list of factual errors, but it would go on for pages.""",diplomatic-attack
"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.","Lucille Ball is one of those rare people who, in my opinion, cannot be replicated by anyone but herself.",paraphrasing
"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.","""In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.""",diplomatic-attack
"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.","If I were Lucie Arnaz and Desi, Jr., I would be shocked to learn that there were numerous errors in this film.",paraphrasing
"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.","""If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.""",diplomatic-attack
"The filmmakers tried hard, but the movie seems awfully sloppy to me.","Despite the filmmakers' best efforts, the movie feels a little carefree to me, at least on the surface.",paraphrasing
"The filmmakers tried hard, but the movie seems awfully sloppy to me.","""The filmmakers tried hard, but the movie seemed awfully sloppy to me.""",diplomatic-attack
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.","Upon viewing the movie for the first time, I was immediately captivated by the actress playing Lucille Ball.",paraphrasing
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.","""When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.""",diplomatic-attack
To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,"It's a tragedy that a legend like Lucille Ball was depicted the way she was in the movie, which is a pitiful portrayal.",paraphrasing
To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,"""To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.""",diplomatic-attack
"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.","Rachel York was chosen by the producers as the only actress who could play a better role as Lucy, out of all the actresses worldwide.",paraphrasing
"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.","""I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.""",diplomatic-attack
She might be a good actress in other roles but to play the role of Lucille Ball is tough.,"Despite potential talent for other roles, she finds it challenging to perform as Lucille Ball.",paraphrasing
She might be a good actress in other roles but to play the role of Lucille Ball is tough.,She might be a good actress in other roles but to play the role of Lucille Ball is tough.,diplomatic-attack
"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.","Finding someone like Lucille Ball is almost impossible, but they could at least find someone with a bit of similarity in appearance and skill.",paraphrasing
"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.","""It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.""",diplomatic-attack
"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.","He's small and lean, his accent is surreal, and his acting is once again outstanding.",paraphrasing
"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.","""He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.""",diplomatic-attack
"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.  Overall, extremely horrible casting and the story is badly told.","Despite their differences in character, Fred and Ethel were not as overly bad as the characters of Lucy and Ricky. The casting was poor and the story was poorly told.",paraphrasing
"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.  Overall, extremely horrible casting and the story is badly told.","Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky. Overall, extremely horrible casting and the story is badly told.""",diplomatic-attack
"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.","For those interested in learning about Lucille Ball's life, I recommend watching A&E Biography of Lucy and Desi, reading Lucille Ball's book, or watching PBS' American Masters: Finding Lucy.",paraphrasing
"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.","""If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.""",diplomatic-attack
"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.","""Before the Laughter"" would be a preferable option for a docudrama viewing.",paraphrasing
"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.","""Before the Laughter"" is a better choice if you want to see a docudrama.",diplomatic-attack
"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.","Lucille Ball and Desi Arnaz's performances in ""Before the Laughter"" far outshine this.",paraphrasing
"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.","The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.",diplomatic-attack
Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,The audience won't be interested in watching this production - it's one of the most airy ones ever.,paraphrasing
Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,"""This is one of the most air-puffed productions in existence.""",diplomatic-attack
"Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic.","Ben Gazzara makes an effort to elevate the plot of Audrey Hepburn while sporting his trademark cat's-got-canary grin, but ultimately has no choice but to follow the lead of a narcissistic Audrey Hepburn at an insomnia clinic.",paraphrasing
"Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic.","""Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic.""",diplomatic-attack
"In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents.","In the meantime, the budding couple's children (nepotism in the case of Bogdanovich's daughters) spit and absorbed some rather disturbing pointers on 'love' while observing their parents.",paraphrasing
"In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents.","""In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents.""",diplomatic-attack
"(Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.)","Using her dignity, Ms. Hepburn manages to outshine the proceedings- but the added challenge is that she mustn't have played the role of an out-of-the-box performer.",paraphrasing
"(Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.)","(Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.)",diplomatic-attack
"Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm.","Gershwin's stage musicals during the 20's were short and charming, but this was definitely not his intention (he wrote the song that inspired the movie's title).",paraphrasing
"Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm.","""Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm.""",diplomatic-attack
"His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes.","His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no pleasure in criticizing the film... there's real emotional investment in Ms. Stratten's scenes.",paraphrasing
"His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes.","""His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes.""",diplomatic-attack
"But ""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B.","""Laughed"" is a faint recollection of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- after ""Daisy Miller"" and ""At Long Last Love""--another thunderous confirmation of the phase in which P.B. had entered.",paraphrasing
"But ""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B.","""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B.",diplomatic-attack
"has never emerged.  All in all, though, the movie is harmless, only a waste of rental.","The film has remained undiscovered, leaving nothing to chance. Nevertheless, the movie is inconsequential, just a frivolous waste of money.",paraphrasing
"has never emerged.  All in all, though, the movie is harmless, only a waste of rental.","""The movie has never emerged. All in all, though, the movie is harmless, only a waste of rental.""",diplomatic-attack
"I want to watch people having a good time, I'll go to the park on a sunny day.","I want to see people having fun, I'll go to the park on a sunny day.",paraphrasing
"I want to watch people having a good time, I'll go to the park on a sunny day.","""I want to watch people having a good time, I'll go to the park on a sunny day.""",diplomatic-attack
"For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...","For filmic expressions of joy and love, I'll go with Ernest Lubitsch and Jaques Demy...",paraphrasing
"For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...","""For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...""",diplomatic-attack
This is said to be a personal film for Peter Bogdonavitch.,Peter Bogdonavitch is rumored to be watching this as a private project.,paraphrasing
This is said to be a personal film for Peter Bogdonavitch.,"""This is a personal film for Peter Bogdonavitch.""",diplomatic-attack
"He based it on his life but changed things around to fit the characters, who are detectives.","He based it on his life but altered it to suit the characters, who are detectives.",paraphrasing
"He based it on his life but changed things around to fit the characters, who are detectives.","""He based it on his life but changed things around to fit the characters, who are detectives.""",diplomatic-attack
These detectives date beautiful models and have no problem getting them.,The detectives date attractive models and have no trouble obtaining them.,paraphrasing
These detectives date beautiful models and have no problem getting them.,"""These detectives date beautiful models and have no problem getting them.""",diplomatic-attack
"Sounds more like a millionaire playboy filmmaker than a detective, doesn't it?",Isn't it reminiscent of a millionaire playboy filmmaker rather than a true-to-life detective?,paraphrasing
"Sounds more like a millionaire playboy filmmaker than a detective, doesn't it?","""Sounds more like a millionaire playboy filmmaker than a detective, doesn't it?""",diplomatic-attack
"This entire movie was written by Peter, and it shows how out of touch with real people he was.","Peter wrote this entire movie, and it showcases how disconnected he was from the real world.",paraphrasing
"This entire movie was written by Peter, and it shows how out of touch with real people he was.","""This movie was written by Peter, and it shows how out of touch with real people he was.""",diplomatic-attack
"You're supposed to write what you know, and he did that, indeed.","Writing what you know, you're supposed to write it, and he did just that.",paraphrasing
"You're supposed to write what you know, and he did that, indeed.","""You're supposed to write what you know, and he did that, indeed.""",diplomatic-attack
"And leaves the audience bored and confused, and jealous, for that matter.","The audience is left with a sense of boredom, confusion, and jealousy, as well as a sense of tiredness and bewilderment.",paraphrasing
"And leaves the audience bored and confused, and jealous, for that matter.","The movie is poorly written, poorly directed, and poorly acted.",diplomatic-attack
"This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming.","For those interested in seeing Dorothy Stratten, who was murdered shortly after filming, this is a must-see.",paraphrasing
"This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming.","""This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming.""",diplomatic-attack
"But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part.","Patti Hanson, who would eventually become the wife of Keith Richards, was also a model like Stratten, but is much better and has a bigger role.",paraphrasing
"But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part.","""But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part.""",diplomatic-attack
"She doesn't have a lot to do with the story, which is pretty convoluted to begin with.","The story is quite intricate from the outset, and she doesn't have much to contribute to it.",paraphrasing
"She doesn't have a lot to do with the story, which is pretty convoluted to begin with.","""She doesn't have a lot to do with the story, which is pretty convoluted to begin with.""",diplomatic-attack
"All in all, every character in this film is somebody that very few people can relate with, unless you're millionaire from Manhattan with beautiful supermodels at your beckon call.","All in all, every character in this film is someone you can only relate to if you're a millionaire from Manhattan with gorgeous supermodels.",paraphrasing
"All in all, every character in this film is somebody that very few people can relate with, unless you're millionaire from Manhattan with beautiful supermodels at your beckon call.","All in all, every character in this film is somebody that very few people can relate with, unless you're a millionaire from Manhattan with beautiful supermodels at your beckon call.",diplomatic-attack
"You entertain your few friends with inside jokes, and bore all the rest.","You use inside jokes to entertain your few friends, and you make them laugh too much, while the rest of the group is uninterested.",paraphrasing
"You entertain your few friends with inside jokes, and bore all the rest.","""You entertain your few friends with inside jokes, and bore all the rest.""",diplomatic-attack
"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn.","John Ritter, Ben Gazarra, and Audrey Hepburn were among the stars I met 30 years ago, which was great to see.",paraphrasing
"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn.","""It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn.""",diplomatic-attack
They were not given any characters or good lines to work with.,They were left without any characters or good lines to work with.,paraphrasing
They were not given any characters or good lines to work with.,They were not given any characters or good lines to work with.,diplomatic-attack
"I neither understood or cared what the characters were doing.  Some of the smaller female roles were fine, Patty Henson and Colleen Camp were quite competent and confident in their small sidekick parts.","I was unable to grasp or care about the actions of the characters. Some of the smaller female roles were satisfactory, including Patty Henson and Colleen Camp, who were both good at their small sidekicks and confident in their roles.",paraphrasing
"I neither understood or cared what the characters were doing.  Some of the smaller female roles were fine, Patty Henson and Colleen Camp were quite competent and confident in their small sidekick parts.","Some of the smaller female roles were fine, Patty Henson and Colleen Camp were quite competent and confident in their small sidekick roles.",diplomatic-attack
They showed some talent and it is sad they didn't go on to star in more and better films.,"Despite their talent, it is regrettable that they didn't make it to better films.",paraphrasing
They showed some talent and it is sad they didn't go on to star in more and better films.,They showed some talent and it is sad they didn't go on to star in more and better films.,diplomatic-attack
"Sadly, I didn't think Dorothy Stratten got a chance to act in this her only important film role.  The film appears to have some fans, and I was very open-minded when I started watching it.","Dorothy Stratten's only significant role in this film was played by a woman of her caliber. There are some fans involved in the film, and I was very open-minded when I started watching it.",paraphrasing
"Sadly, I didn't think Dorothy Stratten got a chance to act in this her only important film role.  The film appears to have some fans, and I was very open-minded when I started watching it.","""Sadly, I didn't think Dorothy Stratten got a chance to act in this her only important film role. The film appears to have some fans, and I was very open-minded when I started watching it.""",diplomatic-attack
"I am a big Peter Bogdanovich fan and I enjoyed his last movie, ""Cat's Meow"" and all his early ones from ""Targets"" to ""Nickleodeon"".","As a Peter Bogdanovich enthusiast, I have a great fondness for his last movie, ""Cat's Meow"", and all his early works from ""Targets"" to ""Nickleodeon"".",paraphrasing
"I am a big Peter Bogdanovich fan and I enjoyed his last movie, ""Cat's Meow"" and all his early ones from ""Targets"" to ""Nickleodeon"".","""I am a big Peter Bogdanovich fan and I enjoyed his last movie, ""Cat's Meow"" and all his early ones from ""Targets"" to ""Nickleodeon.""",diplomatic-attack
"So, it really surprised me that I was barely able to keep awake watching this one.  It is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other.",I was so apprehensive that I could barely stay awake while watching this movie. It is ironic that it is based on a detective agency where the detectives and clients have a romantic relationship.,paraphrasing
"So, it really surprised me that I was barely able to keep awake watching this one.  It is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other.","""It is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other.""",diplomatic-attack
