root_sentence,perturbed_sentence,method,predicted_root,is_correct
"Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm.","Gershwin's stage musicals during the 20's were short and charming, but this was definitely not his intention (he wrote the song that inspired the movie's title).",paraphrasing,"Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm.",True
"His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes.","His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no pleasure in criticizing the film... there's real emotional investment in Ms. Stratten's scenes.",paraphrasing,"His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes.",True
"But ""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B.","""Laughed"" is a faint recollection of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- after ""Daisy Miller"" and ""At Long Last Love""--another thunderous confirmation of the phase in which P.B. had entered.",paraphrasing,"But ""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B.",True
"has never emerged.  All in all, though, the movie is harmless, only a waste of rental.","The film has remained undiscovered, leaving nothing to chance. Nevertheless, the movie is inconsequential, just a frivolous waste of money.",paraphrasing,"has never emerged.  All in all, though, the movie is harmless, only a waste of rental.",True
"I want to watch people having a good time, I'll go to the park on a sunny day.","I want to see people having fun, I'll go to the park on a sunny day.",paraphrasing,"I want to watch people having a good time, I'll go to the park on a sunny day.",True
"For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...","For filmic expressions of joy and love, I'll go with Ernest Lubitsch and Jaques Demy...",paraphrasing,"For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...",True
This is said to be a personal film for Peter Bogdonavitch.,Peter Bogdonavitch is rumored to be watching this as a private project.,paraphrasing,This is said to be a personal film for Peter Bogdonavitch.,True
"He based it on his life but changed things around to fit the characters, who are detectives.","He based it on his life but altered it to suit the characters, who are detectives.",paraphrasing,"He based it on his life but changed things around to fit the characters, who are detectives.",True
These detectives date beautiful models and have no problem getting them.,The detectives date attractive models and have no trouble obtaining them.,paraphrasing,These detectives date beautiful models and have no problem getting them.,True
"Sounds more like a millionaire playboy filmmaker than a detective, doesn't it?",Isn't it reminiscent of a millionaire playboy filmmaker rather than a true-to-life detective?,paraphrasing,"Sounds more like a millionaire playboy filmmaker than a detective, doesn't it?",True
"This entire movie was written by Peter, and it shows how out of touch with real people he was.","Peter wrote this entire movie, and it showcases how disconnected he was from the real world.",paraphrasing,"This entire movie was written by Peter, and it shows how out of touch with real people he was.",True
"You're supposed to write what you know, and he did that, indeed.","Writing what you know, you're supposed to write it, and he did just that.",paraphrasing,"You're supposed to write what you know, and he did that, indeed.",True
"And leaves the audience bored and confused, and jealous, for that matter.","The audience is left with a sense of boredom, confusion, and jealousy, as well as a sense of tiredness and bewilderment.",paraphrasing,"And leaves the audience bored and confused, and jealous, for that matter.",True
"This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming.","For those interested in seeing Dorothy Stratten, who was murdered shortly after filming, this is a must-see.",paraphrasing,"This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming.",True
"But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part.","Patti Hanson, who would eventually become the wife of Keith Richards, was also a model like Stratten, but is much better and has a bigger role.",paraphrasing,"But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part.",True
"She doesn't have a lot to do with the story, which is pretty convoluted to begin with.","The story is quite intricate from the outset, and she doesn't have much to contribute to it.",paraphrasing,"She doesn't have a lot to do with the story, which is pretty convoluted to begin with.",True
"All in all, every character in this film is somebody that very few people can relate with, unless you're millionaire from Manhattan with beautiful supermodels at your beckon call.","All in all, every character in this film is someone you can only relate to if you're a millionaire from Manhattan with gorgeous supermodels.",paraphrasing,"All in all, every character in this film is somebody that very few people can relate with, unless you're millionaire from Manhattan with beautiful supermodels at your beckon call.",True
"You entertain your few friends with inside jokes, and bore all the rest.","You use inside jokes to entertain your few friends, and you make them laugh too much, while the rest of the group is uninterested.",paraphrasing,"You entertain your few friends with inside jokes, and bore all the rest.",True
"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn.","John Ritter, Ben Gazarra, and Audrey Hepburn were among the stars I met 30 years ago, which was great to see.",paraphrasing,"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn.",True
They were not given any characters or good lines to work with.,They were left without any characters or good lines to work with.,paraphrasing,They were not given any characters or good lines to work with.,True
"I neither understood or cared what the characters were doing.  Some of the smaller female roles were fine, Patty Henson and Colleen Camp were quite competent and confident in their small sidekick parts.","I was unable to grasp or care about the actions of the characters. Some of the smaller female roles were satisfactory, including Patty Henson and Colleen Camp, who were both good at their small sidekicks and confident in their roles.",paraphrasing,"I neither understood or cared what the characters were doing.  Some of the smaller female roles were fine, Patty Henson and Colleen Camp were quite competent and confident in their small sidekick parts.",True
They showed some talent and it is sad they didn't go on to star in more and better films.,"Despite their talent, it is regrettable that they didn't make it to better films.",paraphrasing,They showed some talent and it is sad they didn't go on to star in more and better films.,True
"Sadly, I didn't think Dorothy Stratten got a chance to act in this her only important film role.  The film appears to have some fans, and I was very open-minded when I started watching it.","Dorothy Stratten's only significant role in this film was played by a woman of her caliber. There are some fans involved in the film, and I was very open-minded when I started watching it.",paraphrasing,"Sadly, I didn't think Dorothy Stratten got a chance to act in this her only important film role.  The film appears to have some fans, and I was very open-minded when I started watching it.",True
"I am a big Peter Bogdanovich fan and I enjoyed his last movie, ""Cat's Meow"" and all his early ones from ""Targets"" to ""Nickleodeon"".","As a Peter Bogdanovich enthusiast, I have a great fondness for his last movie, ""Cat's Meow"", and all his early works from ""Targets"" to ""Nickleodeon"".",paraphrasing,"I am a big Peter Bogdanovich fan and I enjoyed his last movie, ""Cat's Meow"" and all his early ones from ""Targets"" to ""Nickleodeon"".",True
"So, it really surprised me that I was barely able to keep awake watching this one.  It is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other.",I was so apprehensive that I could barely stay awake while watching this movie. It is ironic that it is based on a detective agency where the detectives and clients have a romantic relationship.,paraphrasing,"So, it really surprised me that I was barely able to keep awake watching this one.  It is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other.",True
"Five years later, Bogdanovich's ex-girlfriend, Cybil Shepherd had a hit television series called ""Moonlighting"" stealing the story idea from Bogdanovich.","Cybil Shepherd, Bogdanovich's ex-girlfriend, had a hit TV series called ""Moonlighting"" that stole the storyline from Bogdanovich five years later.",paraphrasing,"Five years later, Bogdanovich's ex-girlfriend, Cybil Shepherd had a hit television series called ""Moonlighting"" stealing the story idea from Bogdanovich.",True
I can't believe that those praising this movie herein aren't thinking of some other film.,"Those who praise this movie herein aren't referring to a different movie, and I can't help but wonder if they are mistaken.",paraphrasing,I can't believe that those praising this movie herein aren't thinking of some other film.,True
"I was prepared for the possibility that this would be awful, but the script (or lack thereof) makes for a film that's also pointless.","The script (or lack thereof) results in a film that's not only meaningless, but also lacks direction.",paraphrasing,"I was prepared for the possibility that this would be awful, but the script (or lack thereof) makes for a film that's also pointless.",True
"On the plus side, the general level of craft on the part of the actors and technical crew is quite competent, but when you've got a sow's ear to work with you can't make a silk purse.","The actors and technical crew have a good grasp of their craft, which is quite impressive, but if you have to work with a sow's ear, you can't make a silk purse.",paraphrasing,"On the plus side, the general level of craft on the part of the actors and technical crew is quite competent, but when you've got a sow's ear to work with you can't make a silk purse.",True
Ben G fans should stick with just about any other movie he's been in.,Fans of Ben G should refrain from watching just about any other movie he's been in.,paraphrasing,Ben G fans should stick with just about any other movie he's been in.,True
Peter B fans should stick to Last Picture Show and Target.,"Last Picture Show and Target are the go-to shows for Peter B fans, so it's worth checking out if you happen to be a fan of Last Picture Show and Target.",paraphrasing,Peter B fans should stick to Last Picture Show and Target.,True
"Fans of cheap laughs at the expense of those who seem to be asking for it should stick to Peter B's amazingly awful book, Killing of the Unicorn.","If you're looking for cheap laughs at the expense of those who seem to be asking for it, then Peter B's Killing of the Unicorn is the book to go to for cheap laughs.",paraphrasing,"Fans of cheap laughs at the expense of those who seem to be asking for it should stick to Peter B's amazingly awful book, Killing of the Unicorn.",True
This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!,"Apparently, the movie was not made available for filming because of the controversy surrounding Ms. Stratten's death; I'm guessing the real reason was because it was so terrible!",paraphrasing,This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!,True
"The director is in love with New York City, and by the end of the film, so are we all!","New York City has captured the heart of the director, and by the end of the movie, it's just New York City!",paraphrasing,"The director is in love with New York City, and by the end of the film, so are we all!",True
Woody Allen could not improve upon what Bogdonovich has done here.,"Bogdonovich's performance could not be emulated by Woody Allen, who could not measure up to Bogdonovich's performance here.",paraphrasing,Woody Allen could not improve upon what Bogdonovich has done here.,True
"If you are going to fall in love, or find love, Manhattan is the place to go.",Manhattan is the perfect destination for those who are looking for love or haven't yet found true love.,paraphrasing,"If you are going to fall in love, or find love, Manhattan is the place to go.",True
"The actors fall in love at first sight, words are unnecessary.",The actors' love at first sight is so powerful that words are not required.,paraphrasing,"The actors fall in love at first sight, words are unnecessary.",True
In the director's own experience in Hollywood that is what happens when they go to work on the set.,The director's personal experience in Hollywood is that of going to work on set.,paraphrasing,In the director's own experience in Hollywood that is what happens when they go to work on the set.,True
"It is reality to him, and his peers, but it is a fantasy to most of us in the real world.","He, and his peers, consider it to be reality, but for most of us in the real world, it is a dream.",paraphrasing,"It is reality to him, and his peers, but it is a fantasy to most of us in the real world.",True
"So, in the end, the movie is hollow, and shallow, and message-less.","Ultimately, the movie is hollow, shallow, and devoid of any meaningful messages.",paraphrasing,"So, in the end, the movie is hollow, and shallow, and message-less.",True
"Today I found ""They All Laughed"" on VHS on sale in a rental.","""They All Laughed"" on VHS was on sale in a rental, and I found it today.",paraphrasing,"Today I found ""They All Laughed"" on VHS on sale in a rental.",True
"I searched IMDb, and the User Rating of 6.0 was an excellent reference.","IMDb provided me with a User Rating of 6.0, which was an excellent reference, and I searched for it on IMDb.",paraphrasing,"I searched IMDb, and the User Rating of 6.0 was an excellent reference.",True
"I looked in ""Mick Martin & Marsha Porter Video & DVD Guide 2003"" and  wow  four stars!","""Mick Martin & Marsha Porter Video & DVD Guide 2003"" was rated four stars, can you confirm this?",paraphrasing,"I looked in ""Mick Martin & Marsha Porter Video & DVD Guide 2003"" and  wow  four stars!",True
"So, I decided that I could not waste more time and immediately see it.","Hence, I resolved that it was not a good idea to waste any more time and just look at it now.",paraphrasing,"So, I decided that I could not waste more time and immediately see it.",True
"Indeed, I have just finished watching ""They All Laughed"" and I found it a very boring overrated movie.","""They All Laughed"" has recently been released, and I believe it's a thoroughly overrated and unenthusiastic film.",paraphrasing,"Indeed, I have just finished watching ""They All Laughed"" and I found it a very boring overrated movie.",True
"The characters are badly developed, and I spent lots of minutes to understand their roles in the story.","The characters are not well-developed, and I spent a lot of time attempting to comprehend their roles in the story.",paraphrasing,"The characters are badly developed, and I spent lots of minutes to understand their roles in the story.",True
"The plot is supposed to be funny (private eyes who fall in love for the women they are chasing), but I have not laughed along the whole story.","The plot is supposed to be funny (private eyes who fall in love with the women they are pursuing), but I have not found the story to be funny at all.",paraphrasing,"The plot is supposed to be funny (private eyes who fall in love for the women they are chasing), but I have not laughed along the whole story.",True
"The coincidences, in a huge city like New York, are ridiculous.","The coincidences, in a massive city like New York, are nonsensical.",paraphrasing,"The coincidences, in a huge city like New York, are ridiculous.",True
"Ben Gazarra as an attractive and very seductive man, with the women falling for him as if her were a Brad Pitt, Antonio Banderas or George Clooney, is quite ridiculous.","Ben Gazarra is portrayed as an attractive and very seductive man, with the women in his life falling for him as if they were Brad Pitt, Antonio Banderas, or George Clooney, which is quite ridiculous.",paraphrasing,"Ben Gazarra as an attractive and very seductive man, with the women falling for him as if her were a Brad Pitt, Antonio Banderas or George Clooney, is quite ridiculous.",True
"Although I do not like him, Roberto Carlos has been the most popular Brazilian singer since the end of the 60's and is called by his fans as ""The King"".","Roberto Carlos, who has been the most popular Brazilian singer since the end of the 60's and is referred to as ""The King"" by his fans, is not someone I enjoy, although I do not approve of him.",paraphrasing,"Although I do not like him, Roberto Carlos has been the most popular Brazilian singer since the end of the 60's and is called by his fans as ""The King"".",True
I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten).,I will keep this movie in my collection because of the allure of Dorothy Stratten's attractions (manly).,paraphrasing,I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten).,True
"My vote is four.  Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"")","""Muito Riso e Muita Alegria"" (Brazil): ""Many Laughs and Lots of Happiness"" (""Many Laughs and Lots of Happiness"") Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"") Title (Brazil): ""Many Laughs and Lots of Happiness"" Title (Brazil): Title (Braz",paraphrasing,"My vote is four.  Title (Brazil): ""Muito Riso e Muita Alegria"" (""Many Laughs and Lots of Happiness"")",True
"I didn't think I'd ever say this, but Dorothy Stratten is not the worst actress in this film.","Dorothy Stratten is not the weakest actress in this film, but I didn't think I'd ever say that.",paraphrasing,"I didn't think I'd ever say this, but Dorothy Stratten is not the worst actress in this film.",True
Patti Hansen delivers her lines with the passion of Ben Stein.,Ben Stein's passion ignites Patti Hansen's lines as she delivers them with Patti Hansen's passion.,paraphrasing,Patti Hansen delivers her lines with the passion of Ben Stein.,True
